epoch,loss
1,6.478842989603678
2,4.739622894922892
3,4.120979245503744
4,4.179705635706584
5,5.264205408096314
6,3.9021345535914103
7,4.00998690923055
8,3.76212743918101
9,3.8866684595743815
10,3.6381112138430276
11,3.8326155026753743
12,3.9370372613271076
13,3.746713399887085
14,4.780177466074625
15,4.101718743642171
16,3.4808961311976114
17,3.2243868589401243
18,3.3882174173990887
19,3.4079154173533124
20,3.977419376373291
21,3.2041042963663737
22,3.2438405672709147
23,3.0103433032830558
24,3.194735383987427
25,2.9753451546033225
26,2.7172468423843386
27,2.7507818698883058
28,2.906436014175415
29,2.784387795130412
30,2.8511499643325804
31,2.830128049850464
32,2.7204835352798304
33,3.03635090192159
34,2.360241961479187
35,2.4518049875895183
36,2.672158122062683
37,2.4533170223236085
38,2.6029520511627195
39,2.3179562012354533
40,2.7757888237635293
41,2.7271432558695476
42,2.2924015601476033
43,2.5559383312861126
44,2.319079844156901
45,3.598621694246928
46,2.655105988184611
47,2.9855252742767333
48,2.648737398783366
49,2.47167733112971
50,2.1965129375457764
51,2.321132493019104
52,2.21732443968455
53,2.221921682357788
54,3.553887128829956
55,2.885979501406352
56,3.023586893081665
57,2.6880718946456907
58,2.309104855855306
59,2.62210906346639
60,2.0169775088628135
61,2.028356353441874
62,2.0058099071184796
63,2.0412076473236085
64,2.694070092837016
65,2.9009509603182475
66,2.2021287282307944
67,2.144636066754659
68,2.0619038343429565
69,2.0033262848854063
70,2.267777434984843
71,2.1360275030136107
72,2.170208287239075
73,2.206622282663981
74,1.8650256633758544
75,2.0362898031870524
76,1.8981317361195882
77,1.7915955861409505
78,1.8641229391098022
79,1.8229987939198813
80,2.204423745473226
81,1.9220144192377726
82,1.808823561668396
83,2.1302399476369223
84,2.093427610397339
85,1.922066322962443
86,1.7869929949442545
87,1.8194231202205022
88,2.1336400508880615
89,2.190056244532267
90,1.9085026582082112
91,2.4820238828659056
92,2.1111958821614585
93,1.734165859222412
94,1.9918275435765584
95,1.8497835556666056
96,2.3068525552749635
97,1.6644228219985961
98,1.6757914781570435
99,1.9532357374827067
100,2.2483766237894693
